epoch,train_loss,train_accuracy,test_loss,test_accuracy,test_precision,test_recall,test_f1,learning_rate,elapsed_time
1,1.8146719522488393,33.94,1.578651335588686,41.75,42.042433286340575,41.75,40.66885548884332,4.2629714200602604e-05,66.6650664806366
2,1.5043381838237537,44.244,1.3544513776803473,50.05,49.7133552575308,50.05,49.717709028916104,5.049004264917373e-05,133.62447023391724
3,1.3782792443509602,49.504,1.3002776666811318,53.12,52.40001623542649,53.11999999999999,52.140666255310194,6.34948586067857e-05,200.2264039516449
4,1.2950161126873376,53.064,1.2340540179781094,55.379999999999995,55.4424293221641,55.38000000000001,54.45568811321145,8.150166645177212e-05,267.604754447937
5,1.2290445765875795,55.31,1.1952432295319382,57.50999999999999,57.431466881920215,57.510000000000005,56.712369274495124,0.00010431316302456008,334.7874836921692
6,1.176300758138642,57.876000000000005,1.1695378494870132,57.53,58.104888282081745,57.529999999999994,56.32328847839252,0.0001316793995065061,401.7761914730072
7,1.1372704155304854,59.096000000000004,1.2404204474133291,56.93,59.82213576341454,56.93,56.22001338672427,0.00016330052014471984,469.75044226646423
8,1.0894177576617512,60.919999999999995,1.154828157394555,58.52,60.077955014739295,58.519999999999996,57.48842814138999,0.00019883004781427955,536.9336330890656
9,1.0561006064610103,62.034,1.1901219749146965,57.87,61.8059989359647,57.87,57.34875975927005,0.00023787868041746279,603.7148544788361
10,1.0148253294513048,63.693999999999996,1.191303887564665,58.78,64.36356766201615,58.78,57.91724431250851,0.00028001855652230853,670.6907200813293
11,0.9958840518656289,64.35,0.9770831621376572,65.12,65.36724085152534,65.12,64.44984612217006,0.0003247879435012975,737.6377787590027
12,0.9549279007155572,65.958,1.022511493628192,63.77,66.49352684901027,63.77,63.55824140875331,0.00037169629680155103,804.6209719181061
13,0.9421849298050337,66.594,1.0173046159896122,63.42,65.14128828132165,63.42,62.90846708867581,0.0004202296349114,871.475590467453
14,0.9142874176697353,67.67800000000001,1.1613857472778126,58.52,66.23366963718513,58.52,57.73312798019508,0.0004698561711290524,938.4242465496063
15,0.8827882530286794,69.024,1.0190163319277916,64.05,68.08196602972693,64.05000000000001,63.07053859662872,0.0005200321404252652,1005.4043507575989
16,0.8631443199904069,69.524,1.006632090374163,64.91,68.07155644572454,64.91,63.886915407044675,0.0005702077575542583,1072.542223930359
17,0.8377604215879879,70.458,0.9976851818667856,64.28,68.92039902346335,64.27999999999999,64.48234563555752,0.000619833241128998,1139.1252052783966
18,0.8257240836730089,71.196,1.011880430446309,65.01,71.88359472101374,65.01,65.74882607120276,0.0006683648376541998,1205.9191524982452
19,0.8019047694285507,71.892,1.1661490934669592,60.3,66.77290936053396,60.3,59.16119357822818,0.0007152707795108623,1272.4857411384583
20,0.7839409262323014,72.442,0.9449025502630101,67.15,70.67174593432242,67.15,67.28374837726108,0.0007600371116098481,1339.496409893036
21,0.7644277960824235,73.466,1.0525168550621933,65.57,71.57469013709658,65.57000000000001,65.13363193484393,0.0008021733228710335,1406.5123648643494
22,0.7425117119575095,74.232,0.8334369095647411,71.19,73.58530086600405,71.19,70.50217114213818,0.000841217720823114,1473.608125448227
23,0.7265286626260908,74.70400000000001,0.7470592381847891,73.82,74.70980421583401,73.82000000000001,73.74463561352239,0.0008767424904338039,1541.1123588085175
24,0.7127038902410155,75.224,0.751749675175187,74.49,74.71082513219336,74.49000000000001,73.8153048597029,0.0009083583817401097,1607.9714941978455
25,0.688704231053667,76.322,0.8034493414459715,71.96000000000001,75.29304762338484,71.96000000000001,72.05453029407951,0.0009357189749156447,1674.9999272823334
26,0.678232170508036,76.55999999999999,0.7406699215150943,74.71,75.42587225173105,74.71,74.1453382780367,0.0009585244760420311,1742.1429948806763
27,0.6515892023396919,77.58,0.7151875966673444,75.14999999999999,76.25434502302657,75.15,75.07893717556804,0.000976525001993586,1809.3030688762665
28,0.6342154399055959,77.872,0.7367950611433406,74.62,75.94484907640954,74.62,74.30632956072817,0.000989523318442338,1876.0884401798248
29,0.6204354901752813,78.46,0.744384564411868,74.15,76.28600997731625,74.14999999999999,74.2177655036242,0.0009973770009826654,1942.8601505756378
30,0.6059083608562684,79.05799999999999,0.6777151188083516,77.53999999999999,77.73671491595444,77.54,77.05718480732087,0.0009999999991765667,2010.145174741745
31,0.5931752756657198,79.30199999999999,0.7080071888342025,75.87,76.7853223415553,75.86999999999999,75.9793236608716,0.0009994952470445146,2077.0579047203064
32,0.574648477156144,80.14,0.6748711237102557,77.11,78.88565740994414,77.11,77.05617321577394,0.0009979845819867892,2144.043952226639
33,0.5625739970704173,80.624,0.7854939758018323,75.27000000000001,77.71968694876736,75.27000000000001,75.61393854748208,0.000995471046281774,2211.188265323639
34,0.5485113348306903,81.04400000000001,0.7010069147796388,76.25999999999999,78.63370631483757,76.26000000000002,76.52554969116086,0.0009919597018558705,2278.3620517253876
35,0.5299783418588626,81.54,0.6083187645028352,79.25999999999999,79.38633570239502,79.25999999999999,79.08298237883143,0.000987457620089454,2345.366174221039
36,0.5232506167248386,81.798,0.6029165431762197,79.89,80.40483615481489,79.89,79.76427370622865,0.0009819738675760526,2412.367133140564
37,0.5125956639571263,82.184,0.634099650914502,78.75,79.55239548454425,78.75,78.76909049987314,0.0009755194878634366,2479.4716119766235
38,0.5016512551423534,82.5,0.6086429195229415,79.74,80.51277675755382,79.74,79.7180251087337,0.0009681074792133812,2546.085057735443
39,0.4900748500090731,82.88,0.5713109903654475,81.28999999999999,81.64113934529415,81.28999999999999,81.17818948614976,0.000959752768424898,2612.8476107120514
