epoch,train_loss,train_accuracy,test_loss,test_accuracy,test_precision,test_recall,test_f1,learning_rate,elapsed_time
1,1.9859107340998052,26.125999999999998,1.731476027494783,33.71,33.5930742413898,33.71000000000001,30.548358794228292,4.2629714200602604e-05,68.356924533844
2,1.6560439005532228,36.525999999999996,1.588803468236498,38.68,38.05053523679838,38.68,36.575665993291445,5.049004264917373e-05,137.29578471183777
3,1.5259692033233545,42.443999999999996,1.4494034256904749,45.96,45.921155705676746,45.96,45.10459686945808,6.34948586067857e-05,205.88875722885132
4,1.4165182808780914,47.248000000000005,1.3539022624872292,49.97,50.378372350487275,49.97,49.320741838458346,8.150166645177212e-05,275.0592350959778
5,1.3326472313812627,51.278,1.3373395462704312,51.5,51.71410668568519,51.5,50.25990382816463,0.00010431316302456008,344.23101329803467
6,1.2664620393072552,53.76,1.2714288895297203,53.72,56.10416375392813,53.72000000000001,53.33156814022959,0.0001316793995065061,413.18782138824463
7,1.2052007661298718,56.348,1.1626814535469006,57.96,58.441852496299674,57.96,57.20935606042531,0.00016330052014471984,480.9823844432831
8,1.1493528577525292,58.702,1.1701304722743429,58.18,59.131621451528304,58.18000000000001,57.67226285391587,0.00019883004781427955,549.177845954895
9,1.1070476986867996,60.352,1.1392023096418684,59.74,60.94199582569938,59.74,58.992008137317306,0.00023787868041746279,617.7627260684967
10,1.0655417356192303,61.57,1.1027633073223624,61.08,61.488991414902905,61.08,59.96523204112509,0.00028001855652230853,686.3641276359558
11,1.0339482367191168,63.190000000000005,1.108917125850726,60.77,62.34400244338437,60.77,59.58610965984587,0.0003247879435012975,754.8820111751556
12,0.9964603520262881,64.20400000000001,1.0787380694583724,62.470000000000006,65.12525607727949,62.470000000000006,60.66686529056702,0.00037169629680155103,823.6848342418671
13,0.958312105111149,65.846,0.932879725459275,66.75999999999999,68.10044618645436,66.75999999999999,66.85261691226859,0.0004202296349114,892.3107583522797
14,0.9293139773561522,67.086,1.1098626274971446,61.4,66.89198042010652,61.4,62.15675303688004,0.0004698561711290524,961.2294914722443
15,0.9031662708505646,68.036,1.0072197128253377,64.11,68.65803378745258,64.11,63.671071481691065,0.0005200321404252652,1029.99404835701
16,0.8772686655487856,68.89999999999999,0.9629272875512481,66.16,68.50043003450186,66.16000000000001,65.49698554787071,0.0005702077575542583,1098.3613452911377
17,0.8527435342902723,69.926,0.954445880499615,66.71000000000001,69.10689043853687,66.71,65.75678364622969,0.000619833241128998,1166.9613864421844
18,0.8333740742386454,70.49600000000001,1.1677912325616095,61.23,67.78070890288967,61.230000000000004,60.40587604546058,0.0006683648376541998,1235.9044482707977
19,0.8072881863626373,71.65599999999999,0.9561065294940001,67.0,69.44471193207777,67.00000000000001,66.5814932050455,0.0007152707795108623,1304.116182088852
20,0.7881534291274103,72.478,1.2014388035816752,60.550000000000004,71.48902852592474,60.550000000000004,61.17040088742527,0.0007600371116098481,1372.4996008872986
21,0.772353805620652,73.06200000000001,0.9177707494444148,68.21000000000001,71.40916075459867,68.21000000000001,68.2901770310872,0.0008021733228710335,1441.1294419765472
22,0.7578841282812225,73.776,0.8280294417955314,71.49,72.95131000717075,71.49,70.45998806806764,0.000841217720823114,1509.259598493576
23,0.7285209944104905,74.604,0.9442102723060899,68.12,71.81888249119207,68.12,67.74239821925543,0.0008767424904338039,1578.1318671703339
24,0.7156734403289492,75.2,0.7427210151010258,74.25,74.58139840887806,74.25,73.8493638825698,0.0009083583817401097,1647.005981206894
25,0.6890288729344487,76.096,0.7224106386208989,74.92999999999999,76.62650415121041,74.92999999999999,75.29042392810781,0.0009357189749156447,1715.8543071746826
26,0.6733775991765435,76.6,0.7269604067513897,74.03,76.5101988318743,74.03,73.52942755841522,0.0009585244760420311,1783.958818912506
27,0.6631534116728531,77.18199999999999,0.7168791489616321,75.08,76.74123726479831,75.08,74.9378240110621,0.000976525001993586,1852.761697769165
28,0.635650284988496,77.846,0.6734327098746209,76.58,77.56483251949953,76.58,76.28237356263006,0.000989523318442338,1922.30552983284
29,0.6241924758152584,78.216,0.7130145449547252,75.1,76.78215219250247,75.1,74.7481405405684,0.0009973770009826654,1990.6863849163055
30,0.6069354508310327,78.932,0.6711598750512311,76.6,77.87073287647024,76.6,76.59165162942263,0.0009999999991765667,2058.876628637314
31,0.5830358819431051,79.77199999999999,0.6682506802545232,76.98,77.81546164112008,76.98,76.8756420450379,0.0009994952470445146,2127.832465648651
32,0.5707658057093925,80.16799999999999,0.598081984147904,79.08,79.17481453138315,79.08,78.97329533633088,0.0009979845819867892,2196.826024055481
33,0.5606582147233626,80.754,0.6519296249006964,77.56,78.74668704127288,77.56,77.48284837719449,0.000995471046281774,2265.4204909801483
34,0.5445555270937703,81.03200000000001,0.6138778613631133,79.17999999999999,79.97801724650009,79.17999999999999,78.95905678511394,0.0009919597018558705,2336.6354146003723
35,0.5304786476409039,81.514,0.6042725149613277,79.17999999999999,80.15134125322888,79.18,79.43319112173877,0.000987457620089454,2405.817538022995
36,0.5181053693184767,82.05,0.5623327281065048,80.44,80.81288115924441,80.44,80.45378702782584,0.0009819738675760526,2474.759068965912
37,0.5059749565808974,82.268,0.6008980164102687,79.39,80.3915241326245,79.39,79.24093387987608,0.0009755194878634366,2542.994657754898
38,0.494159659842396,82.836,0.5797919717374121,80.36,81.26978249808025,80.36,80.41415599554156,0.0009681074792133812,2611.106297969818
39,0.48777285290648564,83.03,0.5761251891874204,80.84,81.06685828242462,80.84,80.75897798071566,0.000959752768424898,2679.699031829834
40,0.4725220364797146,83.414,0.5359605288809273,81.69999999999999,82.36463115234702,81.69999999999999,81.82511297709162,0.0009504721807736481,2748.6426541805267
41,0.46131863534602974,83.986,0.5962638438317427,79.66,80.34796473982588,79.65999999999998,79.48998045192307,0.0009402844061280762,2817.5920050144196
42,0.45291808300920766,84.41,0.5478903334231893,81.47,81.76054459581967,81.47,81.42142860294713,0.0009292099613105025,2886.784544467926
43,0.4444555734734401,84.586,0.5471932121143219,80.91000000000001,82.1436199323608,80.91000000000001,80.98627941460128,0.0009172711487789735,2954.9762790203094
44,0.4357433851875003,84.97,0.5336755601463804,82.1,82.34312330475917,82.1,82.05477784673943,0.0009044920117130792,3025.2041888237
45,0.4249360801085182,85.452,0.5444474725206946,81.62,82.28225888290353,81.62,81.65983501054215,0.000890898285594189,3093.9536802768707
46,0.41517476931862207,85.54,0.5829100442729938,81.21000000000001,81.78786010190244,81.21000000000001,80.93453751780238,0.0008765173463776176,3162.9263792037964
47,0.4078124230894286,86.064,0.5481600074251746,81.94,82.24743590733323,81.94,81.70816735041446,0.000861378155361094,3232.1057407855988
48,0.39804344353697185,86.088,0.5307205472212688,82.57,83.08483425371378,82.57,82.52215892034096,0.0008455112008605618,3301.28013753891
49,0.39183982282572083,86.232,0.5821867721855261,80.75,81.47368649591634,80.74999999999999,80.59042648666119,0.0008289484368107694,3369.738917827606
50,0.382426759661616,86.71,0.5363183782738485,82.26,82.88355541341225,82.25999999999999,82.20920860667717,0.0008117232184142969,3438.046152114868
51,0.37229072427391396,87.126,0.5125154961066641,83.0,83.02921471873069,83.0,82.93680590942529,0.0007938702349686175,3507.0302453041077
52,0.364923165629968,87.25,0.5646812890175801,82.0,83.21585872599252,82.0,82.19660922827697,0.0007754254400064685,3576.211492061615
53,0.35740802660965554,87.628,0.5203465982607216,83.17,83.2250129560894,83.17,82.97053073590162,0.000756425978890222,3644.5800602436066
54,0.35226195036907637,87.664,0.5137889493422904,83.36,83.90323386571464,83.36,83.42330589735752,0.0007369101140060682,3712.9935989379883
55,0.34140871984460164,88.08200000000001,0.5050955342639024,83.72,84.08973347797941,83.72,83.79697934999257,0.0007169171477086606,3782.9919600486755
56,0.3400304731067337,88.09,0.5273345776234463,83.49,83.66914200250832,83.49,83.31228299257793,0.000696487343171406,3850.8837461471558
57,0.32619182190969775,88.452,0.5059494502415323,83.91999999999999,84.10886776974303,83.91999999999999,83.91890451893802,0.0006756618433017903,3919.6701102256775
58,0.32228629860807867,88.66000000000001,0.49838165981564553,84.06,83.95086173191413,84.06,83.88627399922474,0.0006544825878850387,3988.284244298935
59,0.3229649466417177,88.602,0.48485087778917546,84.57000000000001,84.59405632425863,84.57000000000001,84.52672664509802,0.0006329922291229694,4056.8387434482574
60,0.3130671551541599,89.166,0.49079647565343576,84.21,84.1382468289232,84.21,84.05777563954311,0.0006112340457381357,4125.606000900269
61,0.3042191772357277,89.274,0.4937922967846986,84.39,84.37272938833637,84.39,84.34623924618056,0.0005892518558162386,4193.60095500946
62,0.29627108247117007,89.718,0.4970290126978971,84.41,84.6893349685464,84.40999999999998,84.38203010398443,0.000567089928562333,4261.630001544952
63,0.2906245579919242,89.766,0.4912640762746714,84.48,84.55862536856318,84.48,84.48726189143882,0.0005447928951485408,4329.756978034973
64,0.290396004877127,89.792,0.49402501956102957,84.33,84.85616603699182,84.33,84.45096607954648,0.0005224056588328095,4398.156023979187
65,0.27995968832994056,90.188,0.5062890812090248,84.06,84.30822920538826,84.06,84.0967533900349,0.0004999733045297269,4466.8911209106445
66,0.27164177960523256,90.446,0.4968904605621745,84.81,84.93933725778597,84.81,84.78899618704631,0.00047754100801550243,4536.074112892151
67,0.2636929463566569,90.79,0.5035667073954443,84.73,84.81442257129694,84.73,84.68773130127101,0.000455153944949967,4604.266319513321
68,0.2594402118507401,90.876,0.49536721156850744,84.34,84.4138949558453,84.33999999999999,84.31628595588359,0.00043285719989880506,4672.620846986771
69,0.2541796413281232,90.996,0.4909231251781913,85.03,85.23377375947302,85.03,85.0969701090696,0.00041069567553924063,4741.022728204727
70,0.24770984053135375,91.206,0.5044139654013762,84.59,84.69218000955297,84.59,84.59333715200981,0.0003887140022320194,4810.403872966766
71,0.2445821859171171,91.348,0.5182803598748651,84.52,84.570299199943,84.52,84.4691177191673,0.00036695644814180376,4879.585406064987
