epoch,train_loss,train_accuracy,test_loss,test_accuracy,test_precision,test_recall,test_f1,learning_rate,elapsed_time
1,1.8204424430037398,33.44,1.5423512306942302,42.77,42.55829685891811,42.77,40.617072470120405,4.2629714200602604e-05,67.62642765045166
2,1.4897692706578833,45.174,1.3824283142758023,48.85,48.726155851020074,48.85,47.40064100477442,5.049004264917373e-05,135.22346997261047
3,1.3632819053462095,50.074,1.2599516640043562,54.269999999999996,55.38813751039555,54.269999999999996,54.18137709822213,6.34948586067857e-05,202.44004726409912
4,1.281499525851301,53.566,1.3299659490585327,52.38,55.622943731903376,52.38,50.786136243001934,8.150166645177212e-05,269.78596544265747
5,1.220863926212501,55.928,1.1614262461662292,58.86,58.639059558663796,58.86,58.38760852000797,0.00010431316302456008,337.32375025749207
6,1.1749229457829615,57.792,1.1827713353618694,57.769999999999996,59.21466415334938,57.769999999999996,56.227883157409195,0.0001316793995065061,404.981240272522
7,1.1244609125739777,59.4,1.105683239402285,59.650000000000006,61.45587441816509,59.650000000000006,59.43570257101195,0.00016330052014471984,472.48293590545654
8,1.0826662901569815,61.364,1.0760081721718904,61.18,63.346458493344414,61.18,60.64133002827199,0.00019883004781427955,540.0521566867828
9,1.0416279596745814,62.692,0.9944046507975098,65.07,65.48748808832659,65.07,64.70254463082141,0.00023787868041746279,609.0719635486603
10,1.0059531512467756,64.004,1.0022943327381353,64.32,65.3000837675146,64.32,63.87974508451126,0.00028001855652230853,676.8586246967316
11,0.9780483197068315,65.13799999999999,1.053000043911539,62.86000000000001,64.8868478548715,62.85999999999999,62.627134648434854,0.0003247879435012975,744.6400842666626
12,0.9554910095756316,66.018,1.0031738231895835,64.19,67.48221253347114,64.19,64.02489406192029,0.00037169629680155103,812.214941740036
13,0.9291547340962588,66.934,1.0856781730985945,63.959999999999994,64.59866086043927,63.96000000000001,62.214742522451274,0.0004202296349114,879.8234152793884
14,0.9105306058131215,67.89,0.9427387213251394,66.75,67.8465580495539,66.74999999999999,65.44317493204632,0.0004698561711290524,947.9542982578278
15,0.8793292508253356,68.904,0.956020230700256,66.62,68.39211494957313,66.62,65.89380483513455,0.0005200321404252652,1015.7704672813416
16,0.8646623224705992,69.58800000000001,1.0203863659482093,64.5,68.00868360924778,64.5,64.25653221253914,0.0005702077575542583,1083.5513753890991
17,0.8464547242502423,70.15400000000001,0.9206980341559003,66.9,70.06184095528792,66.9,66.90641956468488,0.000619833241128998,1151.3010041713715
18,0.8215990480026016,71.288,0.914287427238598,67.97,70.96633330121642,67.97,67.80463028425231,0.0006683648376541998,1218.901662349701
19,0.8043877961080702,71.72,0.9235992412658254,68.86,71.16839620866052,68.86,68.284342864273,0.0007152707795108623,1286.6460418701172
20,0.7813873858479283,72.834,0.9883414112078915,67.17999999999999,73.66734129591504,67.18,67.22032002928613,0.0007600371116098481,1354.2249073982239
21,0.7614627801777457,73.526,0.8072292415579413,71.71,73.69167669935588,71.71,71.8145556396193,0.0008021733228710335,1421.995958328247
22,0.7439870617502485,74.118,0.8214138427357764,71.48,73.7071724211266,71.48,71.35976338310059,0.000841217720823114,1489.1964299678802
23,0.7245121167596343,74.842,0.8121831432269637,71.64,73.11923335700875,71.63999999999999,70.83094606842056,0.0008767424904338039,1556.7489411830902
24,0.7079527580448429,75.544,0.8118547037908226,71.58,75.05020700370544,71.58,71.94811414022722,0.0009083583817401097,1624.3388769626617
25,0.6889917914900938,76.184,0.7736860735780874,73.63,75.12354203247547,73.63,73.27877046447145,0.0009357189749156447,1691.8914139270782
26,0.66838066264644,76.79,0.7882894571799381,72.81,74.32665807609146,72.81,72.38693915935724,0.0009585244760420311,1759.279726266861
27,0.6556665316567092,77.396,0.6949505413034159,75.87,76.9742993348517,75.86999999999999,76.01285119240947,0.000976525001993586,1826.8703968524933
28,0.6388462037229172,77.97,0.6848628162198765,76.4,77.04766797582165,76.39999999999999,75.79454025984468,0.000989523318442338,1894.7054631710052
29,0.6248695790920111,78.43599999999999,0.7456198418216341,74.88,76.76971125088448,74.88,75.1244447425436,0.0009973770009826654,1962.4507327079773
30,0.6145598168110908,78.926,0.7500938492216123,74.51,76.91320020605905,74.51,74.75986833457428,0.0009999999991765667,2030.2110035419464
31,0.5969135964389347,79.35,0.6512581753502985,77.59,78.14942084178249,77.59,77.40141034333237,0.0009994952470445146,2097.4106798171997
32,0.5812519065025822,79.864,0.6573296641088595,77.21000000000001,78.13516399991019,77.21000000000001,76.97510422768634,0.0009979845819867892,2165.134481191635
33,0.564348008798059,80.426,0.632604942959585,78.46,79.32467324454203,78.46,78.64941838700149,0.000995471046281774,2232.5678176879883
34,0.5544914414396371,80.872,0.6007639809398894,79.67999999999999,79.84733455881855,79.67999999999999,79.64541950175581,0.0009919597018558705,2300.186558485031
35,0.5381384537652936,81.33399999999999,0.6554717081747238,77.64,79.32161960539827,77.64,77.46484866868127,0.000987457620089454,2367.4954237937927
36,0.5277236654706623,81.78999999999999,0.5926633050107653,79.54,80.53453442592865,79.54,79.82075884585674,0.0009819738675760526,2435.06311583519
37,0.5183128796689346,82.098,0.5942255633462007,79.77,80.79547024475133,79.77,79.7696048653572,0.0009755194878634366,2502.320647239685
38,0.5024482602506037,82.714,0.5867608587263496,80.03,80.95103537154145,80.03,80.08343144172072,0.0009681074792133812,2569.6620721817017
39,0.4965423789170697,82.97,0.5883806361134645,79.97999999999999,80.40753820214486,79.97999999999999,79.8597322224922,0.000959752768424898,2637.2064714431763
40,0.48699125702804924,83.07,0.5612937763428233,80.89,81.29586066159655,80.89,80.98364859882336,0.0009504721807736481,2704.7849974632263
41,0.4757166368805844,83.334,0.5537888524448795,80.78,81.50761184568209,80.78,80.93626504036712,0.0009402844061280762,2772.6461741924286
42,0.47033261370552165,83.64,0.5570816785856417,80.86,81.48148566983426,80.86,80.99324491923736,0.0009292099613105025,2840.5618181228638
43,0.4557225070226833,84.148,0.5663928174099345,80.65,80.6674195408245,80.65,80.52772684244059,0.0009172711487789735,2908.116272687912
44,0.4539546964075559,84.142,0.6195464954254734,78.85,81.38486431469772,78.85,78.97848924707253,0.0009044920117130792,2975.331495285034
45,0.44300552550941474,84.654,0.5350314338875425,82.25,82.27305442808486,82.25,82.14093537511232,0.000890898285594189,3042.8188943862915
46,0.4360867688799148,84.798,0.5261163988690467,82.31,82.58015096804682,82.30999999999999,82.35581286070311,0.0008765173463776176,3110.4886960983276
47,0.42798595896462344,85.11999999999999,0.5571713821523508,81.26,81.98163157265284,81.26,81.34763819276601,0.000861378155361094,3178.1004452705383
48,0.4183516252090407,85.58200000000001,0.5436152629791551,81.67,81.90322461269763,81.67,81.64198491634397,0.0008455112008605618,3245.802695274353
49,0.4111669719066766,85.732,0.5181569483629458,82.46,82.73140037173258,82.46,82.4119931168637,0.0008289484368107694,3313.396301984787
50,0.4061644410004701,85.758,0.5344579022401458,81.78,82.51344547067228,81.78,81.93351892695134,0.0008117232184142969,3380.9831504821777
51,0.3968614703592132,86.224,0.54341979751921,81.74,82.33148567956692,81.74,81.8629109826783,0.0007938702349686175,3448.3637022972107
52,0.39057227774806647,86.374,0.5459484806296172,81.76,81.89630339035888,81.76,81.63656965967314,0.0007754254400064685,3515.9098312854767
53,0.37921809893854136,86.804,0.5551666424722429,81.86,82.17009456733061,81.86,81.78559025183209,0.000756425978890222,3582.895792245865
54,0.3684555571002271,87.042,0.5068361784811992,82.98,83.02013579201034,82.98,82.95695697682825,0.0007369101140060682,3650.1688413619995
55,0.3718155293399111,87.134,0.5289341617541709,82.61,82.69980547474466,82.61,82.49560416779742,0.0007169171477086606,3717.6647584438324
56,0.3645307797071574,87.29400000000001,0.5158640244963822,83.11,83.09672603871849,83.11,82.96293649349798,0.000696487343171406,3785.0453612804413
57,0.35350148357889233,87.612,0.5197926611657355,82.72,82.95714198758921,82.72,82.7291315075968,0.0006756618433017903,3852.64151597023
58,0.346128709423725,87.90599999999999,0.5026546956817056,83.31,83.55258874328533,83.31,83.38043048318207,0.0006544825878850387,3920.2501966953278
59,0.3391695726386574,88.134,0.5310592309684511,82.73,83.29097648516645,82.72999999999999,82.8933823471889,0.0006329922291229694,3987.606363773346
60,0.3309961530806311,88.488,0.5341203088403508,82.35,82.76771997944896,82.35,82.41363030804567,0.0006112340457381357,4055.7691962718964
61,0.3248222414547068,88.658,0.5042218503299033,83.38,83.64976679250924,83.38000000000001,83.45534485015177,0.0005892518558162386,4123.808712482452
62,0.31879308895038827,88.91,0.5147157157682309,83.62,83.63596481862216,83.62,83.5436641560301,0.000567089928562333,4191.711227893829
63,0.31263824342690466,88.96,0.513804979622364,83.50999999999999,83.59006855870645,83.51,83.39967723905613,0.0005447928951485408,4259.904905557632
64,0.3067524300797669,89.18599999999999,0.49483448736796715,83.37,83.50299467958327,83.37,83.38810549297892,0.0005224056588328095,4327.69889998436
65,0.2940629073764052,89.732,0.5045284731847466,83.66,83.74542352447462,83.66,83.61633801828589,0.0004999733045297269,4396.235127449036
66,0.2911506833513374,89.826,0.4854656038390603,84.44,84.54884733001565,84.44,84.46906420495155,0.00047754100801550243,4464.224660158157
67,0.28693099409970635,90.07,0.4982560304509606,84.0,84.08500402712701,84.00000000000001,83.95931224777682,0.000455153944949967,4532.394696474075
68,0.2796383108133855,90.012,0.5226091382799635,83.95,84.26752865309963,83.95000000000002,83.9551753093984,0.00043285719989880506,4600.964590072632
69,0.26861073534526025,90.5,0.5043109648736419,84.21,84.23531275697421,84.21000000000001,84.17924626541759,0.00041069567553924063,4668.572592973709
70,0.26743243181187176,90.49000000000001,0.5007074729177603,84.36,84.39445309681571,84.36,84.3502275130672,0.0003887140022320194,4735.732366800308
